EVT_SAVE_VAR(413) GB_Unused_FBTL_08
EVT_SAVE_VAR(414) GB_Unused_FBTL_09
EVT_SAVE_VAR(415) GB_Unused_DOKAN_00
EVT_SAVE_VAR(416) GB_Unused_DOKAN_01
EVT_SAVE_VAR(417) GB_Unused_DOKAN_02
EVT_SAVE_VAR(418) GB_Unused_DOKAN_03
EVT_SAVE_VAR(419) GB_Unused_DOKAN_04
EVT_SAVE_VAR(420) GB_Unused_DOKAN_05
EVT_SAVE_VAR(421) GB_Unused_DOKAN_06
EVT_SAVE_VAR(422) GB_Unused_DOKAN_07
EVT_SAVE_VAR(423) GB_Unused_DOKAN_08
EVT_SAVE_VAR(424) GB_Unused_DOKAN_09
EVT_SAVE_VAR(425) GB_WorldLocation
EVT_SAVE_VAR(426) GB_Unused_MAP_01
EVT_SAVE_VAR(427) GB_Unused_MAP_02
EVT_SAVE_VAR(428) GB_Unused_MAP_03
EVT_SAVE_VAR(429) GB_Unused_MAP_04
EVT_SAVE_VAR(430) GB_Unused_MAP_05
EVT_SAVE_VAR(431) GB_Unused_MAP_06
EVT_SAVE_VAR(432) GB_Unused_MAP_07
EVT_SAVE_VAR(433) GB_Unused_MAP_08
EVT_SAVE_VAR(434) GB_Unused_MAP_09
EVT_SAVE_VAR(435) GB_Unused_MAP_0A
EVT_SAVE_VAR(436) GB_Unused_1B4
EVT_SAVE_VAR(437) GB_Unused_1B5
EVT_SAVE_VAR(438) GB_Unused_1B6
EVT_SAVE_VAR(439) GB_Unused_1B7
EVT_SAVE_VAR(440) GB_Unused_1B8
EVT_SAVE_VAR(441) GB_Unused_1B9
EVT_SAVE_VAR(442) GB_Unused_1BA
EVT_SAVE_VAR(443) GB_Unused_1BB
EVT_SAVE_VAR(444) GB_Unused_1BC
EVT_SAVE_VAR(445) GB_Unused_1BD
EVT_SAVE_VAR(446) GB_Unused_1BE
EVT_SAVE_VAR(447) GB_Unused_1BF
EVT_SAVE_VAR(448) GB_Unused_1C0
EVT_SAVE_VAR(449) GB_Unused_1C1
EVT_SAVE_VAR(450) GB_Unused_1C2
EVT_SAVE_VAR(451) GB_Unused_1C3
EVT_SAVE_VAR(452) GB_Unused_1C4
EVT_SAVE_VAR(453) GB_Unused_1C5
